Week,Sched Games,Sched Byes,Unsched Games,Unsched Byes,Unsched Teams,Team1,Team2,Team3,Team4
4,15,2,43,0,0,0,0,S:2:chi:cha:-0.10359248594542718:0.0,S:3:sai:eag:-0.0421522921522921:0.0,S:4:bro:pan:-0.0110722610722611:0.0,U:tit:col:0.42649017649017645:0.0:0,U:pan:buc:0.17191142191142186:0.0:0,U:49e:car:0.142263986013986:0.0:0
4,15,2,43,0,0,0,0,S:2:chi:cha:-0.10359248594542718:0.0,S:3:sai:eag:-0.0421522921522921:0.0,S:4:bro:pan:-0.0110722610722611:0.0,U:tit:col:0.42649017649017645:0.0:0,U:pan:buc:0.17191142191142186:0.0:0,U:49e:car:0.142263986013986:0.0:0
4,15,2,43,0,0,0,0,S:2:chi:cha:-0.10359248594542718:0.0,S:3:sai:eag:-0.0421522921522921:0.0,S:4:bro:pan:-0.0110722610722611:0.0,U:tit:col:0.42649017649017645:0.0:0,U:pan:buc:0.17191142191142186:0.0:0,U:49e:car:0.142263986013986:0.0:0
4,15,2,43,0,0,0,0,S:2:chi:cha:-0.10359248594542718:0.0,S:3:sai:eag:-0.0421522921522921:0.0,S:4:bro:pan:-0.0110722610722611:0.0,U:tit:col:0.42649017649017645:0.0:0,U:pan:buc:0.17191142191142186:0.0:0,U:49e:car:0.142263986013986:0.0:0
4,15,2,43,0,0,0,0,S:2:chi:cha:-0.10359248594542718:0.0,S:3:sai:eag:-0.0421522921522921:0.0,S:4:bro:pan:-0.0110722610722611:0.0,U:tit:col:0.42649017649017645:0.0:0,U:pan:buc:0.17191142191142186:0.0:0,U:49e:car:0.142263986013986:0.0:0
4,15,2,43,0,0,0,0,S:2:chi:cha:-0.10359248594542718:0.0,S:3:sai:eag:-0.0421522921522921:0.0,S:4:bro:pan:-0.0110722610722611:0.0,U:tit:col:0.42649017649017645:0.0:0,U:pan:buc:0.17191142191142186:0.0:0,U:49e:car:0.142263986013986:0.0:0
4,15,2,43,0,0,0,0,S:2:chi:cha:-0.10359248594542718:0.0,S:3:sai:eag:-0.0421522921522921:0.0,S:4:bro:pan:-0.0110722610722611:0.0,U:tit:col:0.42649017649017645:0.0:0,U:pan:buc:0.17191142191142186:0.0:0,U:49e:car:0.142263986013986:0.0:0
4,15,2,43,0,0,0,0,S:2:chi:cha:-0.10359248594542718:0.0,S:3:sai:eag:-0.0421522921522921:0.0,S:4:bro:pan:-0.0110722610722611:0.0,U:tit:col:0.42649017649017645:0.0:0,U:pan:buc:0.17191142191142186:0.0:0,U:49e:car:0.142263986013986:0.0:0
4,15,2,43,0,0,0,0,S:2:chi:cha:-0.10359248594542718:0.0,S:3:sai:eag:-0.0421522921522921:0.0,S:4:bro:pan:-0.0110722610722611:0.0,U:tit:col:0.42649017649017645:0.0:0,U:pan:buc:0.17191142191142186:0.0:0,U:49e:car:0.142263986013986:0.0:0
4,15,2,43,0,0,0,0,S:2:chi:cha:-0.10359248594542718:0.0,S:3:sai:eag:-0.0421522921522921:0.0,S:4:bro:pan:-0.0110722610722611:0.0,U:tit:col:0.42649017649017645:0.0:0,U:pan:buc:0.17191142191142186:0.0:0,U:49e:car:0.142263986013986:0.0:0
4,15,2,43,0,0,0,0,S:2:chi:cha:-0.10359248594542718:0.0,S:3:sai:eag:-0.0421522921522921:0.0,S:4:bro:pan:-0.0110722610722611:0.0,U:tit:col:0.42649017649017645:0.0:0,U:pan:buc:0.17191142191142186:0.0:0,U:49e:car:0.142263986013986:0.0:0
